#MEMO2 project has received funding from the European Unions Horizon 2020 research
#and innovation programme  under the Marie Sklodowska-Curie grant agreement No 722479
#Data separator = ;
#Invalid_data = -999.99
#Unit = %
#Data provider = Jonas Ravelid, Randulph Morales
#Contact details = jonas.ravelid@empa.ch, randulph.morales@empa.ch
#Creation date = 2021-06-27 16:17:01 UTC
#
#Data version = version_2.0
#Drone measurements on 20200309. Release experiment in Duebendorf Measurement was
# from 09:20:02 to 09:28:54 UTC. First of three mass balances. Heights above grou
#nd are 2.5, 5.0, 7.5, 12.5 m. Location is 47.390572, 8.603383
#------------------------------------------------------------#
Date_UTC;Time_UTC;Date_Loc;Time_Loc;Latitude;Longitude;Altitude;Pressure;Temperature;H2O_spec_corr;Flag
2020-03-09;09:18:05;2020-03-09;10:18:05;47.390456563;8.603180111;0.18879424557655966;966.8077816665;280.965;0.023798675536621107;o
2020-03-09;09:18:06;2020-03-09;10:18:06;47.390456518;8.603180103;0.19259424557657212;966.8128479169999;280.96999999999997;0.009338939510412942;o
2020-03-09;09:18:07;2020-03-09;10:18:07;47.390456535;8.603180111;0.1877942455765833;966.8128479169999;280.96999999999997;-0.05966967151011923;o
2020-03-09;09:18:08;2020-03-09;10:18:08;47.390456586999996;8.603180118;0.18959424557652937;966.8635104219999;280.97999999999996;-0.061796677933001934;o
2020-03-09;09:18:09;2020-03-09;10:18:09;47.390456558000004;8.603180112;0.19659424557653438;966.8635104219999;280.97999999999996;-0.09620028367275307;o
2020-03-09;09:18:10;2020-03-09;10:18:10;47.390456493;8.603180042;0.18649424557656857;966.84324542;280.96;-0.1284880615242676;o
2020-03-09;09:18:11;2020-03-09;10:18:11;47.390456585;8.603181717;0.5183942455765305;967.025630438;280.96;-0.16694537934393586;o
2020-03-09;09:18:12;2020-03-09;10:18:12;47.390452034;8.603184631;2.197294245576529;966.6912579049999;280.94;-0.16511066788965298;o
2020-03-09;09:18:13;2020-03-09;10:18:13;47.390433543;8.60318295;3.5195942455765703;966.519005388;280.92999999999995;-0.17184457685939694;o
2020-03-09;09:18:14;2020-03-09;10:18:14;47.390401393999994;8.603189184;4.394694245576545;966.3720841235;280.88;-0.14031344975448262;o
2020-03-09;09:18:15;2020-03-09;10:18:15;47.390366138000005;8.603211229;4.896694245576555;966.2251628590001;280.83;-0.10878232264956827;o
2020-03-09;09:18:16;2020-03-09;10:18:16;47.39033842;8.603243092;5.221394245576562;966.174500354;280.79999999999995;-0.06857386519713145;o
2020-03-09;09:18:17;2020-03-09;10:18:17;47.390319;8.603276624;5.303294245576581;966.1137053479999;280.79999999999995;-0.06571811544669376;o
