#MEMO2 project has received funding from the European Unions Horizon 2020 research
#and innovation programme  under the Marie Sklodowska-Curie grant agreement No 722479
#Data separator = ;
#Invalid_data = -999.99
#Unit = ppb
#Data provider = Jonas Ravelid, Randulph Morales
#Contact details = jonas.ravelid@empa.ch, randulph.morales@empa.ch
#Creation date = 2021-06-25 13:06:33 UTC
#
#Data version = version_2.0
#Drone measurements on 20200313. Release experiment in Duebendorf Measurement was
# from 14:16:07 to 14:27:06 UTC. Fifth of six mass balances. Heights above ground
# are 4.0, 9.0, 2.0, 6.0, 11.0, 3.0, 7.0, 12.0, 5.0m Location of source is 47.390
#525, 8.603439.
#------------------------------------------------------------#
Date_UTC;Time_UTC;Date_Loc;Time_Loc;Latitude;Longitude;Altitude;Pressure;Temperature;CH4_spec_corr;Flag
2020-03-13;14:14:58;2020-03-13;15:14:58;47.390570713;8.603301449;0.6921620191236002;971.5447258840001;286.07;288.0124321167604;o
2020-03-13;14:14:59;2020-03-13;15:14:59;47.390570725;8.603301423;0.6910620191235921;971.5345933829999;286.06;257.2413079349541;o
2020-03-13;14:15:00;2020-03-13;15:15:00;47.390570714;8.6033014;0.699362019123555;971.5345933829999;286.06;309.80569304097185;o
2020-03-13;14:15:01;2020-03-13;15:15:01;47.390570723;8.60330143;0.6877620191235678;971.595388389;286.03;202.6998703422025;o
2020-03-13;14:15:02;2020-03-13;15:15:02;47.390570562;8.603301637000001;0.8551620191235543;971.656183395;286.01;248.4718639835171;o
2020-03-13;14:15:03;2020-03-13;15:15:03;47.390569863;8.603302561;2.78996201912355;971.716978401;285.98999999999995;261.0272338078352;o
2020-03-13;14:15:04;2020-03-13;15:15:04;47.390569637;8.603300989;5.034662019123573;971.4839308779999;285.94;273.58260363215334;o
2020-03-13;14:15:05;2020-03-13;15:15:05;47.390571056999995;8.603299583;7.0448620191235705;970.875980818;285.95;306.7398709202873;o
2020-03-13;14:15:06;2020-03-13;15:15:06;47.39057270399999;8.603300862000001;7.9765620191235485;970.875980818;285.95;263.31137348107046;o
2020-03-13;14:15:07;2020-03-13;15:15:07;47.390576015;8.603301558;8.071262019123594;970.754390806;285.87;281.3165686669465;o
2020-03-13;14:15:08;2020-03-13;15:15:08;47.390579294;8.603301985;8.057362019123559;970.632800794;285.78999999999996;268.9015812951793;o
2020-03-13;14:15:09;2020-03-13;15:15:09;47.390578786999995;8.603301861;8.038162019123547;970.632800794;285.78999999999996;256.48659392341216;o
2020-03-13;14:15:10;2020-03-13;15:15:10;47.39057632;8.60330078;7.900862019123565;970.703728301;285.81;284.098317016055;o
2020-03-13;14:15:11;2020-03-13;15:15:11;47.390571571;8.603302702;7.874362019123566;970.6682645475;285.835;276.04143361558124;o
2020-03-13;14:15:12;2020-03-13;15:15:12;47.390556753999995;8.603316907;7.776162019123603;970.632800794;285.85999999999996;268.6879149239219;o
2020-03-13;14:15:13;2020-03-13;15:15:13;47.390533905;8.603340009;7.789862019123575;970.632800794;285.85999999999996;261.3343962322626;o
2020-03-13;14:15:14;2020-03-13;15:15:14;47.390507768999996;8.603364432000001;7.897162019123584;970.6429332949999;285.88;267.0411103474294;o
2020-03-13;14:15:15;2020-03-13;15:15:15;47.390480275;8.603388292;7.9998620191235545;970.632800794;285.88;289.26627072948156;o
2020-03-13;14:15:16;2020-03-13;15:15:16;47.390455103;8.603409668;8.060062019123563;970.632800794;285.88;259.62242238915655;o
2020-03-13;14:15:17;2020-03-13;15:15:17;47.390437946999995;8.603418495;8.112562019123573;970.602403291;285.88;278.7397621260307;o
2020-03-13;14:15:18;2020-03-13;15:15:18;47.39042932;8.603415601;8.094462019123569;970.6429332949999;285.88;287.16046680426075;o
2020-03-13;14:15:19;2020-03-13;15:15:19;47.390425971000006;8.60341185;7.988662019123581;970.653065796;285.90999999999997;264.59807904480067;o
2020-03-13;14:15:20;2020-03-13;15:15:20;47.39042602;8.603410307;7.929662019123555;970.6429332949999;285.91499999999996;295.5936656657206;o
2020-03-13;14:15:21;2020-03-13;15:15:21;47.39042727100001;8.60341067;7.935562019123552;970.632800794;285.91999999999996;286.4028428629459;o
2020-03-13;14:15:22;2020-03-13;15:15:22;47.390428474;8.603412399;7.9005620191235835;970.653065796;285.95;277.21202006017114;o
2020-03-13;14:15:23;2020-03-13;15:15:23;47.390428981999996;8.60341419;7.859762019123593;970.653065796;285.95;270.7391114482797;o
2020-03-13;14:15:24;2020-03-13;15:15:24;47.390429104;8.603416591;7.8129620191235745;970.653065796;285.95;278.17462283336266;o
2020-03-13;14:15:25;2020-03-13;15:15:25;47.390428181000004;8.603424489;7.76116201912356;970.683463299;285.96999999999997;250.1077961673997;o
2020-03-13;14:15:26;2020-03-13;15:15:26;47.390425753;8.603440167;7.734562019123587;970.673330798;285.97999999999996;250.1077961673997;o
2020-03-13;14:15:27;2020-03-13;15:15:27;47.390422273;8.603462302999999;7.826662019123603;970.6935957999999;285.97999999999996;242.21105987682938;o
2020-03-13;14:15:28;2020-03-13;15:15:28;47.390417391999996;8.603490027000001;7.892062019123557;970.6935957999999;285.97999999999996;255.6656398225603;o
2020-03-13;14:15:29;2020-03-13;15:15:29;47.390409051000006;8.603531144;7.9794620191235595;970.653065796;285.97999999999996;269.12021976829124;o
2020-03-13;14:15:30;2020-03-13;15:15:30;47.390396373;8.603577729;7.951062019123583;970.653065796;285.94499999999994;300.24476919807336;o
2020-03-13;14:15:31;2020-03-13;15:15:31;47.390383222;8.603597722;7.973362019123556;970.653065796;285.90999999999997;296.2227097530456;o
2020-03-13;14:15:32;2020-03-13;15:15:32;47.390373178999994;8.60359759;8.012462019123575;970.653065796;285.90999999999997;292.2006503080179;o
2020-03-13;14:15:33;2020-03-13;15:15:33;47.390369244;8.603593075;7.927862019123552;970.653065796;285.90999999999997;253.75757723716293;o
2020-03-13;14:15:34;2020-03-13;15:15:34;47.390370221000005;8.603588836;7.862162019123559;970.663198297;285.92999999999995;279.6802669997688;o
2020-03-13;14:15:35;2020-03-13;15:15:35;47.390373366999995;8.603588278;7.861162019123583;970.673330798;285.95;280.5737223698423;o
2020-03-13;14:15:36;2020-03-13;15:15:36;47.390375774;8.60359074;7.84676201912356;970.663198297;285.96999999999997;265.6912739574246;o
2020-03-13;14:15:37;2020-03-13;15:15:37;47.390375462;8.603598819;7.8339620191235895;970.663198297;285.96999999999997;260.1369446083313;o
2020-03-13;14:15:38;2020-03-13;15:15:38;47.39037114600001;8.603622432;7.855662019123599;970.622668293;285.97999999999996;260.1369446083313;o
2020-03-13;14:15:39;2020-03-13;15:15:39;47.39036228;8.60366014;7.89526201912355;970.6378670444999;285.96;256.7028131461471;o
2020-03-13;14:15:40;2020-03-13;15:15:40;47.390348503999995;8.603706417;7.943362019123583;970.653065796;285.94;258.11488803518955;o
2020-03-13;14:15:41;2020-03-13;15:15:41;47.390329115;8.603755886;7.972262019123548;970.653065796;285.94;259.526962924232;o
2020-03-13;14:15:42;2020-03-13;15:15:42;47.390305593;8.603804813;7.982662019123552;970.622668293;285.90999999999997;248.92602472552747;o
2020-03-13;14:15:43;2020-03-13;15:15:43;47.390280965;8.603846862000001;8.001662019123557;970.673330798;285.9;224.55545993048767;o
2020-03-13;14:15:44;2020-03-13;15:15:44;47.390259271000005;8.603871007;7.98946201912355;970.653065796;285.84999999999997;224.55545993048767;o
2020-03-13;14:15:45;2020-03-13;15:15:45;47.390244452;8.603870914;8.057662019123597;970.653065796;285.84999999999997;239.00133436172058;o
2020-03-13;14:15:46;2020-03-13;15:15:46;47.390237203000005;8.603862728;8.01376201912359;970.653065796;285.84999999999997;262.84159839478116;o
2020-03-13;14:15:47;2020-03-13;15:15:47;47.390236936;8.603855035;8.006162019123565;970.632800794;285.87;256.0425318619334;o
2020-03-13;14:15:48;2020-03-13;15:15:48;47.390240043;8.603851916;7.884062019123576;970.6429332949999;285.875;297.56847405551895;o
2020-03-13;14:15:49;2020-03-13;15:15:49;47.390243075;8.603852763999999;7.79546201912359;970.653065796;285.88;300.891766909926;o
2020-03-13;14:15:50;2020-03-13;15:15:50;47.390243278;8.603851402;7.7428620191235495;970.653065796;285.88;304.2150597643331;o
2020-03-13;14:15:51;2020-03-13;15:15:51;47.390239668999996;8.603844843;7.756462019123603;970.7949208099999;285.92999999999995;366.20283081111694;o
2020-03-13;14:15:52;2020-03-13;15:15:52;47.390234061;8.603834511;7.766362019123562;970.713860802;285.96999999999997;263.4716307580446;o
