#MEMO2 project has received funding from the European Unions Horizon 2020 research
#and innovation programme  under the Marie Sklodowska-Curie grant agreement No 722479
#Data separator = ;
#Invalid_data = -999.99
#Unit = %
#Data provider = Jonas Ravelid, Randulph Morales
#Contact details = jonas.ravelid@empa.ch, randulph.morales@empa.ch
#Creation date = 2021-06-27 16:44:49 UTC
#
#Data version = version_2.0
#Drone measurements on 20200225. Release experiment in Duebendorf Measurement was
# from 10:30:17 to 10:40:11 UTC. First of three mass balances. Heights above grou
#nd are 2.5, 3.5, 5.0, 6.0, 7.5, 10.0 m. Location is 47.389756N 8.606039E
#------------------------------------------------------------#
Date_UTC;Time_UTC;Date_Loc;Time_Loc;Latitude;Longitude;Altitude;Pressure;Temperature;H2O_spec_corr;Flag
2020-02-25;10:29:28;2020-02-25;11:29:28;47.38957086782634;8.60637646094814;0.0;-999.99;-999.99;0.15196049656920577;k
2020-02-25;10:29:29;2020-02-25;11:29:29;47.3895709269788;8.606376218493336;0.0;-999.99;-999.99;0.16698212469535573;k
2020-02-25;10:29:30;2020-02-25;11:29:30;47.38957114409242;8.606376051840918;0.0;-999.99;-999.99;0.20116189439590187;k
2020-02-25;10:29:31;2020-02-25;11:29:31;47.38957127046128;8.606376212265662;0.0;-999.99;-999.99;0.21654743719008257;k
2020-02-25;10:29:32;2020-02-25;11:29:32;47.389571383550596;8.606376313909978;0.0;-999.99;-999.99;0.19227535896936834;k
2020-02-25;10:29:33;2020-02-25;11:29:33;47.38957148223263;8.606376384024832;0.0;-999.99;-999.99;0.17163580292062844;k
2020-02-25;10:29:34;2020-02-25;11:29:34;47.38957168839108;8.606376646992983;0.0;-999.99;-999.99;0.15099624687188853;k
2020-02-25;10:29:35;2020-02-25;11:29:35;47.389571762765044;8.606376738339403;0.0;-999.99;-999.99;0.23623808848549552;k
2020-02-25;10:29:36;2020-02-25;11:29:36;47.38957216752846;8.606376101971284;0.5818182004363638;-999.99;-999.99;0.22797558902145942;k
2020-02-25;10:29:37;2020-02-25;11:29:37;47.38957464261892;8.606367972996397;3.1428572434285718;-999.99;-999.99;0.2067208469586941;k
2020-02-25;10:29:38;2020-02-25;11:29:38;47.389588267872476;8.606336124844068;4.86000015552;-999.99;-999.99;0.33677473903521843;k
2020-02-25;10:29:39;2020-02-25;11:29:39;47.38960693545785;8.606296572075452;5.7625001844;-999.99;-999.99;0.11097099666134055;k
2020-02-25;10:29:40;2020-02-25;11:29:40;47.38962113339973;8.606279608198836;5.771428756114285;-999.99;-999.99;0.08289348784589078;k
2020-02-25;10:29:41;2020-02-25;11:29:41;47.3896397023202;8.606291347607007;6.044444637866666;-999.99;-999.99;-0.1603768136984864;k
2020-02-25;10:29:42;2020-02-25;11:29:42;47.38966872936484;8.606314221274538;5.955555746133334;-999.99;-999.99;-0.09475234448917334;k
2020-02-25;10:29:43;2020-02-25;11:29:43;47.38970617080687;8.60634688174784;6.066666860800001;-999.99;-999.99;-0.130685716101632;k
2020-02-25;10:29:44;2020-02-25;11:29:44;47.389726535693676;8.606363448338353;6.000000192000001;-999.99;-999.99;-0.16661908771409065;k
2020-02-25;10:29:45;2020-02-25;11:29:45;47.389739019963606;8.6063713847854;6.000000192000001;-999.99;-999.99;-0.22681118517409393;k
2020-02-25;10:29:46;2020-02-25;11:29:46;47.38975542589359;8.606384117546542;6.000000192000001;-999.99;-999.99;-0.1609750292675911;k
2020-02-25;10:29:47;2020-02-25;11:29:47;47.38976386115503;8.60639185548516;5.960000190720001;-999.99;-999.99;-0.18244484587315948;k
2020-02-25;10:29:48;2020-02-25;11:29:48;47.38976513757634;8.606390963661628;5.940000190080001;-999.99;-999.99;-0.1917700675965534;k
2020-02-25;10:29:49;2020-02-25;11:29:49;47.389764605703064;8.606398875657858;5.950000190400001;-999.99;-999.99;-0.26197436969262905;k
2020-02-25;10:29:50;2020-02-25;11:29:50;47.38975691615146;8.606422102594507;5.9000001888;-999.99;-999.99;-0.2577220024162871;k
