#MEMO2 project has received funding from the European Unions Horizon 2020 research
#and innovation programme  under the Marie Sklodowska-Curie grant agreement No 722479
#Data separator = ;
#Invalid_data = -999.99
#Unit = %
#Data provider = Jonas Ravelid, Randulph Morales
#Contact details = jonas.ravelid@empa.ch, randulph.morales@empa.ch
#Creation date = 2021-06-27 16:49:41 UTC
#
#Data version = version_2.0
#Drone measurements on 20200224. Release experiment in Duebendorf Measurement was
# from 15:37:45 to 15:48:45 UTC. First of two mass balances. Heights above ground
# are 4.0, 2.5, 5.0, 7.5, 10.0, 12.5m. Location is 47.38975N 8.605708E
#------------------------------------------------------------#
Date_UTC;Time_UTC;Date_Loc;Time_Loc;Latitude;Longitude;Altitude;Pressure;Temperature;H2O_spec_corr;Flag
2020-02-24;15:36:42;2020-02-24;16:36:42;47.389594;8.60639;1.2000000384;967.785568013;294.17999999999995;0.22871475187074697;o
2020-02-24;15:36:43;2020-02-24;16:36:43;47.38960025000001;8.60638225;2.2125000708;967.785568013;294.17999999999995;0.3026503053944314;o
2020-02-24;15:36:44;2020-02-24;16:36:44;47.38961255555555;8.606364666666666;3.833333456;967.785568013;294.17999999999995;0.3749507915138312;o
2020-02-24;15:36:45;2020-02-24;16:36:45;47.38963044444444;8.606338444444443;6.022222414933334;967.785568013;294.17999999999995;0.305633051520945;o
2020-02-24;15:36:46;2020-02-24;16:36:46;47.38965344444444;8.606309222222222;8.4333336032;967.785568013;294.17999999999995;0.1632337188858544;o
2020-02-24;15:36:47;2020-02-24;16:36:47;47.38967385714285;8.606284285714285;9.14285743542857;967.785568013;294.17999999999995;0.08481707831587691;o
2020-02-24;15:36:48;2020-02-24;16:36:48;47.3896978;8.6062513;9.42000030144;967.785568013;294.17999999999995;-0.0751843249092612;o
2020-02-24;15:36:49;2020-02-24;16:36:49;47.389724125;8.606227625;9.437500302000002;967.785568013;294.17999999999995;-0.0890420650904877;o
2020-02-24;15:36:50;2020-02-24;16:36:50;47.3897472;8.6062262;9.420000301440002;967.785568013;294.17999999999995;-0.1028998052717142;o
2020-02-24;15:36:51;2020-02-24;16:36:51;47.38976525;8.606240125;9.325000298400003;967.785568013;294.17999999999995;-0.13053701681610946;o
2020-02-24;15:36:52;2020-02-24;16:36:52;47.38977428571428;8.606258999999998;9.300000297599999;967.785568013;294.17999999999995;-0.09680672660273675;o
2020-02-24;15:36:53;2020-02-24;16:36:53;47.389781285714285;8.606286714285714;9.300000297599999;967.785568013;294.17999999999995;-0.06307643638936403;o
2020-02-24;15:36:54;2020-02-24;16:36:54;47.389787375000004;8.6063215;9.3000002976;967.785568013;294.17999999999995;-0.06710385904742672;o
