#MEMO2 project has received funding from the European Unions Horizon 2020 research
#and innovation programme  under the Marie Sklodowska-Curie grant agreement No 722479
#Data separator = ;
#Invalid_data = -999.99
#Unit = %
#Data provider = Jonas Ravelid, Randulph Morales
#Contact details = jonas.ravelid@empa.ch, randulph.morales@empa.ch
#Creation date = 2021-06-27 16:24:51 UTC
#
#Data version = version_2.0
#Drone measurements on 20200308. Release experiment in Duebendorf Measurement was
# from 13:17:37 to 13:28:26 UTC. Second of three mass balances. Heights above gro
#und are 2.5, 5.0, 7.5, 10.0, 12.5 m. Location is 47.390579, 8.603337
#------------------------------------------------------------#
Date_UTC;Time_UTC;Date_Loc;Time_Loc;Latitude;Longitude;Altitude;Pressure;Temperature;H2O_spec_corr;Flag
2020-03-08;13:17:01;2020-03-08;14:17:01;47.390477193;8.603259296000001;1.0724892480709514;968.748155608;286.09;-0.014584729262543703;o
2020-03-08;13:17:02;2020-03-08;14:17:02;47.39047716;8.603259292999999;1.0733892480709528;968.738023107;286.08;-0.012202872495453876;o
2020-03-08;13:17:03;2020-03-08;14:17:03;47.390477458999996;8.603259494;1.0729892480709395;968.7734868605;286.07;-0.012202872495453876;o
2020-03-08;13:17:04;2020-03-08;14:17:04;47.390477368999996;8.603259433;1.0700892480709285;968.808950614;286.06;-0.009939974120933798;o
2020-03-08;13:17:05;2020-03-08;14:17:05;47.390477393999994;8.603259458;1.0757892480709188;968.778553111;286.03;0.005901256801555536;o
2020-03-08;13:17:06;2020-03-08;14:17:06;47.390477347;8.603259425;1.0746892480709107;968.778553111;286.01;0.018978610948158954;o
2020-03-08;13:17:07;2020-03-08;14:17:07;47.390477327;8.603259439;1.0728892480709646;968.778553111;286.01;-0.0003249684223355714;o
2020-03-08;13:17:08;2020-03-08;14:17:08;47.390477448;8.603259538;1.0863892480709296;968.808950614;285.95;0.003921604451980867;o
2020-03-08;13:17:09;2020-03-08;14:17:09;47.390477319;8.603260927000001;1.71058924807096;968.8292156159999;285.9;-0.020984658589064394;o
2020-03-08;13:17:10;2020-03-08;14:17:10;47.390472376000005;8.60326289;3.0104892480709395;968.606300594;285.87;-0.04589092163010966;o
2020-03-08;13:17:11;2020-03-08;14:17:11;47.390464382;8.603268412;4.627489248070958;968.606300594;285.87;-0.08971876299148478;o
2020-03-08;13:17:12;2020-03-08;14:17:12;47.390453443;8.60327669;4.781189248070916;968.3732530709999;285.88;-0.08384120391613724;o
